"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1812417";"";"None";"425.53";"1";"5.64";"37, BSc4050";"CCCCCCCCn1c2ccccc2c2cc(CCC(=O)O)c(OCC(=O)O)cc21";"IC50";"'>'";"80000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1816006";"Modulation of gamma-secretase activity in human H4 cells expressing APP695 assessed as increase in amyloid beta42 production after 20 to 24 hrs by liquid phase electrochemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"H4";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1811865";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308507";"";"";"";"80.0"
"CHEMBL1837051";"";"None";"513.55";"1";"4.85";"22, enantiomer";"O=S(=O)(c1ccc(C(F)(F)F)cc1)N1C2Cc3[nH]ncc3C1CC(c1ccc(-n3ccnc3)cc1)C2";"IC50";"'='";"36.0";"nM";"7.44";"";"";"UO_0000065";"14.49";"0.28";"2.59";"8.87";"0";"CHEMBL1837501";"Inhibition of gamma-secretase-mediated cleavage of amyloid precursor protein in human IMR32 cells after 2 hrs using MBPC-125 substrate by ELISA assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"IMR-32";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1833811";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307656";"";"";"";"36.0"
"CHEMBL1837047";"";"None";"466.46";"0";"4.20";"18, enantiomer";"O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1ccccc1F)C2";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"18.00";"0.36";"4.20";"10.64";"0";"CHEMBL1837501";"Inhibition of gamma-secretase-mediated cleavage of amyloid precursor protein in human IMR32 cells after 2 hrs using MBPC-125 substrate by ELISA assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"IMR-32";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1833811";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307656";"";"";"";"4.0"
"CHEMBL1643424";"";"None";"468.48";"0";"4.84";"11";"COc1cc(-c2nnc3n2CCCN3C(C)c2c(F)cc(F)cc2F)ccc1-n1cnc(C)c1";"IC50";"'='";"342.0";"nM";"6.47";"";"";"UO_0000065";"13.80";"0.26";"1.63";"10.60";"0";"CHEMBL1647327";"Inhibition of gamma secretase-mediated amyloid beta42 production in HEK293 cells by sandwich immunoassay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1641493";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307715";"";"";"";"342.0"
"CHEMBL1643427";"";"None";"469.38";"1";"5.16";"14";"COc1cc(-c2nnc3n2CCCN3Cc2ccc(Cl)c(Cl)c2)ccc1-n1cnc(C)c1";"IC50";"'='";"126.0";"nM";"6.90";"";"";"UO_0000065";"14.70";"0.29";"1.74";"11.31";"0";"CHEMBL1647327";"Inhibition of gamma secretase-mediated amyloid beta42 production in HEK293 cells by sandwich immunoassay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1641493";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307715";"";"";"";"126.0"
"CHEMBL1643439";"";"None";"414.51";"1";"5.36";"30";"COc1cc(-c2onc3c2CCCN3[C@@H](C)c2ccccc2)ccc1-n1cnc(C)c1";"IC50";"'='";"537.0";"nM";"6.27";"";"";"UO_0000065";"15.13";"0.28";"0.91";"11.13";"0";"CHEMBL1647327";"Inhibition of gamma secretase-mediated amyloid beta42 production in HEK293 cells by sandwich immunoassay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1641493";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307715";"";"";"";"537.0"
"CHEMBL1083120";"4'-CYCLO PROPYL-5'-(6-(TRIFLUORO METHYL)PYRIDIN-3-YL SULFONYL)-4',5'-DIHYDROSPIRO[CYCLOPROPANE-1,6'-PYRAZOLO[4,3-C]PYRIDIN]-7'(1'H)-ONE (ENANTIOMERIC MIX)";"None";"412.39";"0";"2.69";"16c";"O=C1c2[nH]ncc2C(C2CC2)N(S(=O)(=O)c2ccc(C(F)(F)F)nc2)C12CC2";"IC50";"'='";"688.0";"nM";"6.16";"";"";"UO_0000065";"14.94";"0.30";"3.47";"6.42";"0";"CHEMBL1118885";"Inhibition of gamma-secretase-mediated notch cleavage in human SNC cells by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SNC";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1158636";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"688.0"
"CHEMBL1818822";"";"None";"363.40";"0";"3.64";"32";"COc1cc(-c2cn(Cc3cccc(F)c3)nn2)ccc1-n1cnc(C)c1";"IC50";"'='";"1440.0";"nM";"5.84";"";"";"UO_0000065";"16.07";"0.30";"2.20";"10.11";"0";"CHEMBL1820232";"Modulation of gamma-secretase in human SH-SY5Y cells over-expressing beta-APP C-terminal fragment SPA4CT assessed as amyloid beta42 level by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1817592";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307740";"";"";"";"1.44"
"CHEMBL1818814";"";"None";"341.49";"None";"None";"24";"COc1cc(-c2cn(C[Si](C)(C)C)nn2)ccc1-n1cnc(C)c1";"IC50";"'='";"7610.0";"nM";"5.12";"";"";"UO_0000065";"14.99";"None";"None";"None";"0";"CHEMBL1820766";"Modulation of gamma-secretase in human SH-SY5Y cells over-expressing beta-APP C-terminal fragment SPA4CT assessed as amyloid beta40 level by electrochemiluminescent analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SH-SY5Y";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1817592";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307740";"";"";"";"7.61"
"CHEMBL4850178";"";"None";"1101.40";"None";"None";"2";"CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)CNC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)NC(C)(C)C(=O)OC)C(C)C";"IC50";"'='";"58.0";"nM";"7.24";"";"";"UO_0000065";"6.57";"None";"None";"None";"0";"CHEMBL4833628";"Inhibition of gamma secretase (unknown origin) expressed in HEK293 cells assessed as reduction of A-beta40 levels using C100-FLAG as substrate incubated for 2 hrs by sandwich ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL2094135";"Gamma-secretase";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4831543";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 2.0 hr";"INHIBITOR";"";"58.0"
