Smiles,Standard Relation,Standard Value,Standard Units
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1C2Cc3[nH]ncc3C1CC(c1ccc(-n3ccnc3)cc1)C2,'=',36.0,nM
O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1ccccc1F)C2,'=',4.0,nM
COc1cc(-c2nnc3n2CCCN3C(C)c2c(F)cc(F)cc2F)ccc1-n1cnc(C)c1,'=',342.0,nM
COc1cc(-c2nnc3n2CCCN3Cc2ccc(Cl)c(Cl)c2)ccc1-n1cnc(C)c1,'=',126.0,nM
COc1cc(-c2onc3c2CCCN3[C@@H](C)c2ccccc2)ccc1-n1cnc(C)c1,'=',537.0,nM
O=C1c2[nH]ncc2C(C2CC2)N(S(=O)(=O)c2ccc(C(F)(F)F)nc2)C12CC2,'=',688.0,nM
COc1cc(-c2cn(Cc3cccc(F)c3)nn2)ccc1-n1cnc(C)c1,'=',1440.0,nM
COc1cc(-c2cn(C[Si](C)(C)C)nn2)ccc1-n1cnc(C)c1,'=',7610.0,nM
CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)CNC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)NC(C)(C)C(=O)OC)C(C)C,'=',58.0,nM
COc1cc(-c2cn(Cc3ccc(-c4nc5ccccc5o4)cc3)nn2)ccc1-n1cnc(C)c1,'=',200.0,nM
CCCCCCCCn1c2ccccc2c2ccc(OC3=C(O)COC3=O)cc21,'=',37000.0,nM
CCCCCCCCn1c2ccccc2c2ccc(OCc3nn[nH]n3)cc21,'=',165000.0,nM
Cn1ccnc1C(=O)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,'=',200.0,nM
O=C(c1cnccc1C(F)(F)F)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,'=',110.0,nM
Cn1ccnc1C(=O)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,'=',160.0,nM
COc1ccc2c(C(=O)N3CCC(c4cc(F)ccc4F)(S(=O)(=O)c4ccc(Cl)cc4)CC3)cn(C)c2c1,'=',70.0,nM
Cn1cc(C(=O)N2CCC(c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC2)c(C(F)(F)F)n1,'=',120.0,nM
COc1cc(-c2cn(CC(=O)N(Cc3ccccc3)CC(F)(F)F)nn2)ccc1-n1cnc(C)c1,'=',270.0,nM
COc1cc(-c2cn([C@H]3C[C@@H](C(F)(F)F)CCN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',20.0,nM
COc1cc(-c2cn(C3CCCC(C(C)(C)C)NC3=O)nn2)ccc1-n1cnc(C)c1,'=',5120.0,nM
COc1cc(-c2cn([C@H]3CC[C@H](c4ccccc4)CN(Cc4ccccc4)C3=O)nn2)ccc1-n1cnc(C)c1,'=',510.0,nM
Cc1cnc(C2CC3Cc4[nH]ncc4C(C2)N3S(=O)(=O)c2ccc(C(F)(F)F)nc2)s1,'=',39980.0,nM
O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1cccc(F)c1)C2,'=',6600.0,nM
O=S(=O)(c1ccc(Cl)s1)N1C2Cc3[nH]ncc3C1CC(c1ccccc1)C2,'=',26719.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1C2CCCC1c1cn[nH]c1C2,'=',879.0,nM
CC(=O)Nc1cccc(C2CC3Cc4[nH]ncc4C(C2)N3S(=O)(=O)c2ccc(C(F)(F)F)cc2)c1,'=',29.0,nM
CCCCS(=O)(=O)NC1C2CCC1Cc1ccccc1C2,'=',610.0,nM
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',390.0,nM
COc1cc(/C=C2\CCCN3CC(c4cc(F)c(F)c(F)c4)ON=C23)ccc1-n1cnc(C)c1,'=',48.0,nM
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,'=',4.3,nM
COc1cc(-c2noc3c2CCCN3[C@H](C)c2ccc(F)cc2)ccc1-n1cnc(C)c1,'=',1392.0,nM
COc1cc(-c2ncc(N[C@@H](C)c3ccc(F)cc3)cn2)ccc1-n1cnc(C)c1,'=',251.19,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1nc(C)c(C)s1,'=',141.0,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1ncc(C(C)N2CCOCC2)s1,'=',3.8,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1ncc(CN2CCOCC2)s1,'=',30.0,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1ncc(C(C)N[C@H](C(=O)OC)C(C)C)s1,'=',4.0,nM
CCC[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)Nc1nc(C)c(C(C)NCCC(C)C)s1,'=',5.0,nM
COc1cc(/C=C2\CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1,'=',64.0,nM
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccc(Cl)cc1,'=',467.0,nM
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1cccs1,'=',50.0,nM
CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)OC)[C@@H](C)CC)C(C)C)C(C)C)[C@@H](C)OCc1ccccc1,'=',3100.0,nM
CC[C@@H](C)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C(C)(C)NC(=O)CNC(=O)[C@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NC(C)(C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NC(C)(C)C(=O)OC)[C@H](C)CC)C(C)C)C(C)C)[C@H](C)OCc1ccccc1,'=',0.14,nM
CN1CCN(CC(=O)Nc2ccc3c(c2)CC2CCC(C3)C2NS(=O)(=O)c2ccc(Cl)s2)CC1,'=',69.0,nM
CC(C)CCCC(=O)Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccccc1,'=',535.0,nM
O=S(=O)(NC1C2CCC1Cc1cc(OCCN3CCCCC3)ccc1C2)c1ccc(Cl)s1,'=',73.0,nM
COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C,'=',500.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2CC1c1cccc(F)c1,'=',8.3,nM
O=C(Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccccc1)OCc1ccccc1Cl,'=',153.0,nM
O=C(CNCc1ccccc1)Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccc(Cl)s1,'=',3490.0,nM
COc1cc(Nc2nc3n(n2)C2(CC2)CC(=O)N3Cc2ccc(F)cc2)ccc1-n1cnc(C)c1,'=',12.59,nM
COc1cc(Nc2nc3n(n2)CCC(=O)N3Cc2ccccc2)ccc1-n1cnc(C)c1,'=',12.59,nM
COc1cc(Nc2nc3n(n2)CCC(=O)N3c2ccccc2)ccc1-n1cnc(C)c1,'=',39.81,nM
Cc1cn(-c2ccc(-c3nc(Nc4cc(C(F)(F)F)ccc4F)n(C)n3)cc2OC(F)(F)F)cn1,'=',790.0,nM
COCCn1nc(-c2ccc(-n3cnc(C)c3)c(OC)c2)nc1Nc1cc(C(F)(F)F)ccc1F,'=',52.0,nM
Cc1cn(-c2ccc3n(c2=O)CCN(Cc2cccc4ccccc24)C3=O)cn1,'=',234.0,nM
Cc1cn(-c2ccc3n(c2=O)CCN([C@H](C)c2cn(C)c4ccc(C(F)(F)F)cc24)C3=O)cn1,'=',389.0,nM
CCn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2nc(C(F)(F)F)ccc21,'=',361.0,nM
Cc1cn(-c2ccc3n(c2=O)CCN(Cc2[nH]c4ccccc4c2Cl)C3=O)cn1,'=',207.0,nM
C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@@H]1C(=O)N(C)N=Cc2ccccc21,'=',510.0,nM
CC[C@@H]1C(=O)c2[nH]ncc2[C@H](CC)N1S(=O)(=O)c1ccc(Cl)cc1,'=',546.0,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](OC)c1ccccc1,'=',2000.0,nM
COC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)N(Cc1ccccc1)C[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,'=',200.0,nM
