Standard Value,smiles_encoded,exactmw,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,CrippenClogP,hallKierAlpha
36.0,2181,513.1446306040001,0.28,6.0,4.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.848500000000004,-3.4399999999999995
10457.0,2181,513.1446306040001,0.28,6.0,4.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.848500000000004,-3.4399999999999995
40.0,2181,513.1446306040001,0.28,6.0,4.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.848500000000004,-3.4399999999999995
29717.0,2181,513.1446306040001,0.28,6.0,4.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.848500000000004,-3.4399999999999995
4.0,2205,466.1086596960001,0.3333333333333333,5.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.196900000000003,-2.789999999999999
2003.0,2205,466.1086596960001,0.3333333333333333,5.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,4.196900000000003,-2.789999999999999
342.0,1088,468.1885440160001,0.2916666666666667,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.836420000000005,-3.819999999999999
126.0,1095,468.123214684,0.2608695652173913,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.164920000000005,-3.029999999999999
537.0,1123,414.20557607200004,0.28,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.358120000000005,-3.539999999999999
688.0,2110,412.0816960000001,0.47058823529411764,5.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.694400000000001,-2.27
250.0,2110,412.0816960000001,0.47058823529411764,5.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.694400000000001,-2.27
1440.0,1004,363.14953841600004,0.15,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6352200000000012,-3.48
6240.0,1004,363.14953841600004,0.15,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6352200000000012,-3.48
7610.0,991,341.1671868860001,0.35294117647058826,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3252200000000016,-2.4131168831168828
1940.0,991,341.1671868860001,0.35294117647058826,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3252200000000016,-2.4131168831168828
58.0,673,1100.684533004,0.6909090909090909,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.1901000000000037,-6.810000000000001
200.0,995,462.18042394400004,0.1111111111111111,6.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.304320000000005,-4.719999999999999
2060.0,995,462.18042394400004,0.1111111111111111,6.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.304320000000005,-4.719999999999999
37000.0,367,393.19400834399994,0.375,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.860200000000006,-2.95
165000.0,374,377.2215604840001,0.4090909090909091,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.247100000000005,-2.8900000000000006
113000.0,374,377.2215604840001,0.4090909090909091,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.247100000000005,-2.8900000000000006
102000.0,374,377.2215604840001,0.4090909090909091,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.247100000000005,-2.8900000000000006
200.0,1870,479.0881966199999,0.2727272727272727,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.957100000000003,-2.7799999999999994
160.0,1870,479.0881966199999,0.2727272727272727,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.957100000000003,-2.7799999999999994
110.0,2054,544.0646822159999,0.25,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.637400000000004,-3.049999999999999
130.0,2054,544.0646822159999,0.25,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.637400000000004,-3.049999999999999
70.0,1388,558.1191624,0.25,5.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.723900000000005,-3.4299999999999993
90.0,1388,558.1191624,0.25,5.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.723900000000005,-3.4299999999999993
120.0,1869,547.0755812479998,0.30434782608695654,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.975900000000004,-2.989999999999999
